== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

OK   P2         qwen/qwen3-235b-a22b-2507              r2 c  $2.3132
OK   P3         qwen/qwen3-235b-a22b-2507              r0 -  $2.3137
OK   P3         qwen/qwen3-235b-a22b-2507              r1 -  $2.3142
FAIL P3         qwen/qwen3-235b-a22b-2507              r2 -  $2.3146
FAIL P4         qwen/qwen3-235b-a22b-2507              r0 -  $2.3151
FAIL P4         qwen/qwen3-235b-a22b-2507              r1 -  $2.3158
FAIL P4         qwen/qwen3-235b-a22b-2507              r2 -  $2.3163
OK   P5         qwen/qwen3-235b-a22b-2507              r0 -  $2.3170
OK   P5         qwen/qwen3-235b-a22b-2507              r1 -  $2.3177
OK   P5         qwen/qwen3-235b-a22b-2507              r2 -  $2.3185
FAIL P6         qwen/qwen3-235b-a22b-2507              r0 -  $2.3201
FAIL P6         qwen/qwen3-235b-a22b-2507              r1 -  $2.3221
FAIL P6         qwen/qwen3-235b-a22b-2507              r2 -  $2.3237
OK   P7         qwen/qwen3-235b-a22b-2507              r0 -  $2.3248
OK   P7         qwen/qwen3-235b-a22b-2507              r1 -  $2.3257
OK   P7         qwen/qwen3-235b-a22b-2507              r2 -  $2.3268
OK   P1         mistralai/mistral-small-3.2-24b-instruct r0 -  $2.3272
OK   P1         mistralai/mistral-small-3.2-24b-instruct r1 -  $2.3275
OK   P1         mistralai/mistral-small-3.2-24b-instruct r2 -  $2.3279
OK   P2         mistralai/mistral-small-3.2-24b-instruct r0 a  $2.3279
OK   P2         mistralai/mistral-small-3.2-24b-instruct r1 b  $2.3279
OK   P2         mistralai/mistral-small-3.2-24b-instruct r2 c  $2.3280
FAIL P3         mistralai/mistral-small-3.2-24b-instruct r0 -  $2.3283
FAIL P3         mistralai/mistral-small-3.2-24b-instruct r1 -  $2.3287
FAIL P3         mistralai/mistral-small-3.2-24b-instruct r2 -  $2.3290
FAIL P4         mistralai/mistral-small-3.2-24b-instruct r0 -  $2.3294
FAIL P4         mistralai/mistral-small-3.2-24b-instruct r1 -  $2.3297
FAIL P4         mistralai/mistral-small-3.2-24b-instruct r2 -  $2.3301
OK   P5         mistralai/mistral-small-3.2-24b-instruct r0 -  $2.3306
OK   P5         mistralai/mistral-small-3.2-24b-instruct r1 -  $2.3312
OK   P5         mistralai/mistral-small-3.2-24b-instruct r2 -  $2.3317
FAIL P6         mistralai/mistral-small-3.2-24b-instruct r0 -  $2.3331
FAIL P6         mistralai/mistral-small-3.2-24b-instruct r1 -  $2.3346
FAIL P6         mistralai/mistral-small-3.2-24b-instruct r2 -  $2.3360
FAIL P7         mistralai/mistral-small-3.2-24b-instruct r0 -  $2.3369
FAIL P7         mistralai/mistral-small-3.2-24b-instruct r1 -  $2.3378
FAIL P7         mistralai/mistral-small-3.2-24b-instruct r2 -  $2.3386
OK   P1         deepseek/deepseek-r1                   r0 -  $2.3429
OK   P1         deepseek/deepseek-r1                   r1 -  $2.3469
FAIL P1         deepseek/deepseek-r1                   r2 -  $2.3543
OK   P2         deepseek/deepseek-r1                   r0 a  $2.3551
OK   P2         deepseek/deepseek-r1                   r1 b  $2.3559
OK   P2         deepseek/deepseek-r1                   r2 c  $2.3568
FAIL P3         deepseek/deepseek-r1                   r0 -  $2.3619
OK   P3         deepseek/deepseek-r1                   r1 -  $2.3682
OK   P3         deepseek/deepseek-r1                   r2 -  $2.3727
TRUNC P4         deepseek/deepseek-r1                   r0 -  $2.3833
TRUNC P4         deepseek/deepseek-r1                   r1 -  $2.3938
OK   P4         deepseek/deepseek-r1                   r2 -  $2.4015
OK   P5         deepseek/deepseek-r1                   r0 -  $2.4075
OK   P5         deepseek/deepseek-r1                   r1 -  $2.4142
OK   P5         deepseek/deepseek-r1                   r2 -  $2.4191
FAIL P6         deepseek/deepseek-r1                   r0 -  $2.4420
FAIL P6         deepseek/deepseek-r1                   r1 -  $2.4592
FAIL P6         deepseek/deepseek-r1                   r2 -  $2.4832
OK   P7         deepseek/deepseek-r1                   r0 -  $2.4924
FAIL P7         deepseek/deepseek-r1                   r1 -  $2.5048
FAIL P7         deepseek/deepseek-r1                   r2 -  $2.5157

== results matrix — pass/fail/error/truncated/na ==
model                                     P1             P2             P3             P4             P5             P6             P7           
anthropic/claude-haiku-4.5                3/0/0/0/0      3/0/0/0/0      3/0/0/0/0      0/3/0/0/0      3/0/0/0/0      3/0/0/0/0      3/0/0/0/0    
anthropic/claude-opus-5                   0/3/0/0/0      3/0/0/0/0      0/0/1/2/0      0/3/0/0/0      2/1/0/0/0      0/0/0/0/3      2/0/0/0/1    
anthropic/claude-sonnet-5                 0/0/3/0/0      3/0/0/0/0      2/0/1/0/0      0/1/0/2/0      0/2/1/0/0      0/0/2/0/1      1/0/1/0/1    
deepseek/deepseek-chat-v3.1               3/0/0/0/0      3/0/0/0/0      2/1/0/0/0      1/2/0/0/0      3/0/0/0/0      0/3/0/0/0      3/0/0/0/0    
deepseek/deepseek-r1                      2/1/0/0/0      3/0/0/0/0      2/1/0/0/0      1/0/0/2/0      3/0/0/0/0      0/3/0/0/0      1/2/0/0/0    
google/gemini-3.1-pro-preview             3/0/0/0/0      3/0/0/0/0      3/0/0/0/0      0/0/0/3/0      3/0/0/0/0      3/0/0/0/0      3/0/0/0/0    
mistralai/mistral-small-3.2-24b-instruct  3/0/0/0/0      3/0/0/0/0      0/3/0/0/0      0/3/0/0/0      3/0/0/0/0      0/3/0/0/0      0/3/0/0/0    
openai/gpt-5-mini                         0/0/0/3/0      3/0/0/0/0      1/0/0/2/0      0/0/0/3/0      0/3/0/0/0      0/0/0/0/3      0/0/0/0/3    
openai/gpt-5.2                            2/1/0/0/0      3/0/0/0/0      2/1/0/0/0      1/2/0/0/0      3/0/0/0/0      0/2/0/0/1      3/0/0/0/0    
qwen/qwen3-235b-a22b-2507                 3/0/0/0/0      3/0/0/0/0      2/1/0/0/0      0/3/0/0/0      3/0/0/0/0      0/3/0/0/0      3/0/0/0/0    
x-ai/grok-4.5                             3/0/0/0/0      3/0/0/0/0      2/1/0/0/0      0/3/0/0/0      3/0/0/0/0      0/1/0/0/2      3/0/0/0/0    

unrun classes (error, truncated, n/a-precondition) are not failures (K6): a cell carrying any of them cannot claim a threshold.

measured spend: $2.5157 of $10.00 ceiling
evidence: results
