== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== battery: 1 models x 18 probes x n=25, budget $1.00 ==
workers: 6

FAIL P17        openai/gpt-5.6-luna                    r21 -  $0.0894  [173/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r22 -  $0.0899  [174/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r24 -  $0.0903  [175/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r0 -  $0.0915  [176/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r1 -  $0.0926  [177/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r3 -  $0.0938  [178/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r4 -  $0.0940  [179/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r2 -  $0.0944  [180/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r5 -  $0.0947  [181/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r6 -  $0.0951  [182/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r7 -  $0.0972  [183/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r9 -  $0.0987  [184/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r11 -  $0.0988  [185/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r8 -  $0.0990  [186/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r10 -  $0.0993  [187/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r12 -  $0.1015  [188/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r13 -  $0.1020  [189/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r15 -  $0.1025  [190/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r16 -  $0.1026  [191/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r17 -  $0.1034  [192/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r14 -  $0.1036  [193/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r22 -  $0.1070  [194/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r19 -  $0.1071  [195/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r18 -  $0.1073  [196/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r20 -  $0.1074  [197/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r23 -  $0.1079  [198/450, ~5m left]
FAIL P18        openai/gpt-5.6-luna                    r21 -  $0.1082  [199/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r2 c  $0.1084  [200/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r0 a  $0.1085  [201/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r3 a  $0.1086  [202/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r4 b  $0.1086  [203/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r1 b  $0.1087  [204/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r6 a  $0.1088  [205/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r5 c  $0.1089  [206/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r9 a  $0.1090  [207/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r8 c  $0.1091  [208/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r7 b  $0.1092  [209/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r10 b  $0.1093  [210/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r11 c  $0.1098  [211/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r12 a  $0.1099  [212/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r14 c  $0.1101  [213/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r13 b  $0.1101  [214/450, ~5m left]
OK   P2         openai/gpt-5.6-luna                    r15 a  $0.1102  [215/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r17 c  $0.1104  [216/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r16 b  $0.1104  [217/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r18 a  $0.1106  [218/450, ~4m left]
FAIL P18        openai/gpt-5.6-luna                    r24 -  $0.1108  [219/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r20 c  $0.1110  [220/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r19 b  $0.1110  [221/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r22 b  $0.1111  [222/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r23 c  $0.1112  [223/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r1 b  $0.1113  [224/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r0 a  $0.1114  [225/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r24 a  $0.1115  [226/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r2 c  $0.1116  [227/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r3 a  $0.1117  [228/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r4 b  $0.1118  [229/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r6 a  $0.1118  [230/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r5 c  $0.1119  [231/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r7 b  $0.1120  [232/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r8 c  $0.1121  [233/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r9 a  $0.1122  [234/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r10 b  $0.1123  [235/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r13 b  $0.1123  [236/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r11 c  $0.1126  [237/450, ~4m left]
OK   P2         openai/gpt-5.6-luna                    r21 a  $0.1126  [238/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r12 a  $0.1126  [239/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r19 b  $0.1127  [240/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r14 c  $0.1128  [241/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r16 b  $0.1129  [242/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r15 a  $0.1130  [243/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r17 c  $0.1131  [244/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r18 a  $0.1132  [245/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r20 c  $0.1133  [246/450, ~4m left]
OK   P2S        openai/gpt-5.6-luna                    r22 b  $0.1133  [247/450, ~3m left]
OK   P2S        openai/gpt-5.6-luna                    r21 a  $0.1134  [248/450, ~3m left]
FAIL P3         openai/gpt-5.6-luna                    r0 -  $0.1137  [249/450, ~3m left]
OK   P2S        openai/gpt-5.6-luna                    r23 c  $0.1138  [250/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r2 -  $0.1140  [251/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r1 -  $0.1143  [252/450, ~3m left]
OK   P2S        openai/gpt-5.6-luna                    r24 a  $0.1144  [253/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r4 -  $0.1146  [254/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r7 -  $0.1148  [255/450, ~3m left]
